"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 21 18:05:28 UTC 2026","Wed Jan 21 18:05:29 UTC 2026","1179","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_add_and_submit_workflow","Test adding a timesheet entry and submitting the timesheet."
"passed","Wed Jan 21 18:04:38 UTC 2026","Wed Jan 21 18:04:40 UTC 2026","1682","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username","Login should fail with wrong username."
"passed","Wed Jan 21 18:04:37 UTC 2026","Wed Jan 21 18:04:38 UTC 2026","1414","dream_platform.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"passed","Wed Jan 21 18:05:06 UTC 2026","Wed Jan 21 18:05:07 UTC 2026","393","dream_platform.ui.tests","test_user_page","","","","test_user_profile_page_visible","Check that user profile page elements are visible after login."
"passed","Wed Jan 21 18:04:35 UTC 2026","Wed Jan 21 18:04:37 UTC 2026","2064","dream_platform.ui.tests","test_login","","","","test_admin_valid_login","Admin can log in successfully and see expected elements."
"passed","Wed Jan 21 18:04:48 UTC 2026","Wed Jan 21 18:04:49 UTC 2026","1053","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_send_email_ui",""
"passed","Wed Jan 21 18:04:42 UTC 2026","Wed Jan 21 18:04:43 UTC 2026","1683","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username_and_password","Login should fail with wrong username and password."
"passed","Wed Jan 21 18:04:32 UTC 2026","Wed Jan 21 18:04:35 UTC 2026","3063","dream_platform.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"passed","Wed Jan 21 18:04:46 UTC 2026","Wed Jan 21 18:04:48 UTC 2026","2665","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_page_elements",""
"passed","Wed Jan 21 18:05:07 UTC 2026","Wed Jan 21 18:05:24 UTC 2026","17432","dream_platform.ui.tests","test_user_page","","","","test_password_change_and_login","Test password change workflow and login validation with old/new passwords."
"passed","Wed Jan 21 18:04:45 UTC 2026","Wed Jan 21 18:04:46 UTC 2026","247","dream_platform.ui.tests","test_login","","","","test_cancel_logout","Test canceling logout keeps user on current page."
"passed","Wed Jan 21 18:05:07 UTC 2026","Wed Jan 21 18:05:07 UTC 2026","214","dream_platform.ui.tests","test_user_page","","","","test_change_password_modal_elements","Check that change password modal elements are visible."
"passed","Wed Jan 21 18:04:49 UTC 2026","Wed Jan 21 18:05:05 UTC 2026","15444","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_full_flow","One full orchestrated test: send email → fetch → reset → verify → restore"
"passed","Wed Jan 21 18:04:40 UTC 2026","Wed Jan 21 18:04:42 UTC 2026","1679","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_password","Login should fail with wrong password."
"passed","Wed Jan 21 18:05:26 UTC 2026","Wed Jan 21 18:05:28 UTC 2026","1365","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_page_ui_elements","Check that Timesheet page elements are visible after login."
"passed","Wed Jan 21 18:04:43 UTC 2026","Wed Jan 21 18:04:45 UTC 2026","2039","dream_platform.ui.tests","test_login","","","","test_user_valid_login","User can log in successfully and see expected elements."
