"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 10 00:36:33 UTC 2026","Thu Sep 10 00:36:34 UTC 2026","277","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username","Login should fail with wrong username."
"failed","Thu Sep 10 00:39:13 UTC 2026","Thu Sep 10 00:39:13 UTC 2026","0","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_page_ui_elements","Check that Timesheet page elements are visible after login."
"failed","Thu Sep 10 00:37:12 UTC 2026","Thu Sep 10 00:38:07 UTC 2026","55323","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_full_flow","One full orchestrated test: send email → fetch → reset → verify → restore"
"broken","Thu Sep 10 00:38:43 UTC 2026","Thu Sep 10 00:39:13 UTC 2026","30003","dream_platform.ui.tests","test_user_page","","","","test_password_change_and_login","Test password change workflow and login validation with old/new passwords."
"broken","Thu Sep 10 00:36:03 UTC 2026","Thu Sep 10 00:36:33 UTC 2026","30002","dream_platform.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"failed","Thu Sep 10 00:38:07 UTC 2026","Thu Sep 10 00:38:07 UTC 2026","0","dream_platform.ui.tests","test_user_page","","","","test_user_profile_page_visible","Check that user profile page elements are visible after login."
"passed","Thu Sep 10 00:36:34 UTC 2026","Thu Sep 10 00:36:34 UTC 2026","248","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_password","Login should fail with wrong password."
"broken","Thu Sep 10 00:38:12 UTC 2026","Thu Sep 10 00:38:42 UTC 2026","30003","dream_platform.ui.tests","test_user_page","","","","test_change_password_modal_elements","Check that change password modal elements are visible."
"broken","Thu Sep 10 00:36:39 UTC 2026","Thu Sep 10 00:37:09 UTC 2026","30001","dream_platform.ui.tests","test_login","","","","test_cancel_logout","Test canceling logout keeps user on current page."
"failed","Thu Sep 10 00:36:34 UTC 2026","Thu Sep 10 00:36:39 UTC 2026","5142","dream_platform.ui.tests","test_login","","","","test_user_valid_login","User can log in successfully and see expected elements."
"passed","Thu Sep 10 00:36:34 UTC 2026","Thu Sep 10 00:36:34 UTC 2026","282","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username_and_password","Login should fail with wrong username and password."
"passed","Thu Sep 10 00:35:57 UTC 2026","Thu Sep 10 00:35:58 UTC 2026","924","dream_platform.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"passed","Thu Sep 10 00:37:11 UTC 2026","Thu Sep 10 00:37:12 UTC 2026","1054","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_send_email_ui",""
"broken","Thu Sep 10 00:39:18 UTC 2026","Thu Sep 10 00:39:48 UTC 2026","30002","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_add_and_submit_workflow","Test adding a timesheet entry and submitting the timesheet."
"failed","Thu Sep 10 00:35:58 UTC 2026","Thu Sep 10 00:36:03 UTC 2026","5171","dream_platform.ui.tests","test_login","","","","test_admin_valid_login","Admin can log in successfully and see expected elements."
"passed","Thu Sep 10 00:37:09 UTC 2026","Thu Sep 10 00:37:11 UTC 2026","1523","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_page_elements",""
