"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 21 00:35:29 UTC 2026","Sat Mar 21 00:35:29 UTC 2026","153","dream_platform.ui.tests","test_user_page","","","","test_user_profile_page_visible","Check that user profile page elements are visible after login."
"passed","Sat Mar 21 00:34:25 UTC 2026","Sat Mar 21 00:34:26 UTC 2026","1196","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_page_elements",""
"passed","Sat Mar 21 00:35:29 UTC 2026","Sat Mar 21 00:35:29 UTC 2026","205","dream_platform.ui.tests","test_user_page","","","","test_change_password_modal_elements","Check that change password modal elements are visible."
"failed","Sat Mar 21 00:34:26 UTC 2026","Sat Mar 21 00:34:32 UTC 2026","6049","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_send_email_ui",""
"passed","Sat Mar 21 00:34:25 UTC 2026","Sat Mar 21 00:34:25 UTC 2026","238","dream_platform.ui.tests","test_login","","","","test_cancel_logout","Test canceling logout keeps user on current page."
"broken","Sat Mar 21 00:35:40 UTC 2026","Sat Mar 21 00:36:10 UTC 2026","30004","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_add_and_submit_workflow","Test adding a timesheet entry and submitting the timesheet."
"failed","Sat Mar 21 00:34:20 UTC 2026","Sat Mar 21 00:34:25 UTC 2026","5092","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username_and_password","Login should fail with wrong username and password."
"failed","Sat Mar 21 00:33:39 UTC 2026","Sat Mar 21 00:33:44 UTC 2026","5115","dream_platform.ui.tests","test_login","","","","test_admin_valid_login","Admin can log in successfully and see expected elements."
"broken","Sat Mar 21 00:33:44 UTC 2026","Sat Mar 21 00:34:14 UTC 2026","30003","dream_platform.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"failed","Sat Mar 21 00:34:14 UTC 2026","Sat Mar 21 00:34:19 UTC 2026","5103","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username","Login should fail with wrong username."
"failed","Sat Mar 21 00:34:32 UTC 2026","Sat Mar 21 00:35:29 UTC 2026","56461","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_full_flow","One full orchestrated test: send email → fetch → reset → verify → restore"
"passed","Sat Mar 21 00:34:19 UTC 2026","Sat Mar 21 00:34:20 UTC 2026","218","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_password","Login should fail with wrong password."
"passed","Sat Mar 21 00:34:25 UTC 2026","Sat Mar 21 00:34:25 UTC 2026","206","dream_platform.ui.tests","test_login","","","","test_user_valid_login","User can log in successfully and see expected elements."
"failed","Sat Mar 21 00:35:35 UTC 2026","Sat Mar 21 00:35:40 UTC 2026","5076","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_page_ui_elements","Check that Timesheet page elements are visible after login."
"passed","Sat Mar 21 00:33:39 UTC 2026","Sat Mar 21 00:33:39 UTC 2026","340","dream_platform.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"failed","Sat Mar 21 00:35:29 UTC 2026","Sat Mar 21 00:35:35 UTC 2026","5135","dream_platform.ui.tests","test_user_page","","","","test_password_change_and_login","Test password change workflow and login validation with old/new passwords."
