"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Sep 07 00:43:16 UTC 2026","Mon Sep 07 00:43:46 UTC 2026","30003","dream_platform.ui.tests","test_user_page","","","","test_change_password_modal_elements","Check that change password modal elements are visible."
"passed","Mon Sep 07 00:42:14 UTC 2026","Mon Sep 07 00:42:15 UTC 2026","1058","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_send_email_ui",""
"passed","Mon Sep 07 00:42:12 UTC 2026","Mon Sep 07 00:42:14 UTC 2026","1267","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_page_elements",""
"failed","Mon Sep 07 00:44:16 UTC 2026","Mon Sep 07 00:44:16 UTC 2026","0","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_page_ui_elements","Check that Timesheet page elements are visible after login."
"failed","Mon Sep 07 00:41:01 UTC 2026","Mon Sep 07 00:41:06 UTC 2026","5168","dream_platform.ui.tests","test_login","","","","test_admin_valid_login","Admin can log in successfully and see expected elements."
"broken","Mon Sep 07 00:43:46 UTC 2026","Mon Sep 07 00:44:16 UTC 2026","30003","dream_platform.ui.tests","test_user_page","","","","test_password_change_and_login","Test password change workflow and login validation with old/new passwords."
"passed","Mon Sep 07 00:41:37 UTC 2026","Mon Sep 07 00:41:37 UTC 2026","279","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username_and_password","Login should fail with wrong username and password."
"passed","Mon Sep 07 00:41:37 UTC 2026","Mon Sep 07 00:41:37 UTC 2026","250","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_password","Login should fail with wrong password."
"passed","Mon Sep 07 00:41:00 UTC 2026","Mon Sep 07 00:41:01 UTC 2026","504","dream_platform.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Mon Sep 07 00:41:06 UTC 2026","Mon Sep 07 00:41:36 UTC 2026","30003","dream_platform.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Mon Sep 07 00:41:42 UTC 2026","Mon Sep 07 00:42:12 UTC 2026","30003","dream_platform.ui.tests","test_login","","","","test_cancel_logout","Test canceling logout keeps user on current page."
"failed","Mon Sep 07 00:41:37 UTC 2026","Mon Sep 07 00:41:42 UTC 2026","5126","dream_platform.ui.tests","test_login","","","","test_user_valid_login","User can log in successfully and see expected elements."
"broken","Mon Sep 07 00:44:22 UTC 2026","Mon Sep 07 00:44:52 UTC 2026","30001","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_add_and_submit_workflow","Test adding a timesheet entry and submitting the timesheet."
"failed","Mon Sep 07 00:42:15 UTC 2026","Mon Sep 07 00:43:11 UTC 2026","56171","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_full_flow","One full orchestrated test: send email → fetch → reset → verify → restore"
"passed","Mon Sep 07 00:41:36 UTC 2026","Mon Sep 07 00:41:37 UTC 2026","279","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username","Login should fail with wrong username."
"failed","Mon Sep 07 00:43:11 UTC 2026","Mon Sep 07 00:43:11 UTC 2026","0","dream_platform.ui.tests","test_user_page","","","","test_user_profile_page_visible","Check that user profile page elements are visible after login."
