"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 05 18:04:11 UTC 2026","Thu Mar 05 18:04:41 UTC 2026","30026","dream_platform.ui.tests","test_login","","","","test_admin_valid_login","Admin can log in successfully and see expected elements."
"broken","Thu Mar 05 18:05:11 UTC 2026","Thu Mar 05 18:05:41 UTC 2026","30026","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username","Login should fail with wrong username."
"broken","Thu Mar 05 18:06:41 UTC 2026","Thu Mar 05 18:07:11 UTC 2026","30023","dream_platform.ui.tests","test_login","","","","test_user_valid_login","User can log in successfully and see expected elements."
"broken","Thu Mar 05 18:10:38 UTC 2026","Thu Mar 05 18:11:08 UTC 2026","30002","dream_platform.ui.tests","test_user_page","","","","test_password_change_and_login","Test password change workflow and login validation with old/new passwords."
"failed","Thu Mar 05 18:08:42 UTC 2026","Thu Mar 05 18:09:38 UTC 2026","56014","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_full_flow","One full orchestrated test: send email → fetch → reset → verify → restore"
"broken","Thu Mar 05 18:10:08 UTC 2026","Thu Mar 05 18:10:38 UTC 2026","30002","dream_platform.ui.tests","test_user_page","","","","test_change_password_modal_elements","Check that change password modal elements are visible."
"broken","Thu Mar 05 18:11:09 UTC 2026","Thu Mar 05 18:11:09 UTC 2026","0","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_page_ui_elements","Check that Timesheet page elements are visible after login."
"broken","Thu Mar 05 18:07:42 UTC 2026","Thu Mar 05 18:08:12 UTC 2026","30024","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_page_elements",""
"broken","Thu Mar 05 18:11:39 UTC 2026","Thu Mar 05 18:12:09 UTC 2026","30003","dream_platform.ui.tests","test_user_timesheet","","","","test_timesheet_add_and_submit_workflow","Test adding a timesheet entry and submitting the timesheet."
"broken","Thu Mar 05 18:06:11 UTC 2026","Thu Mar 05 18:06:41 UTC 2026","30025","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_username_and_password","Login should fail with wrong username and password."
"broken","Thu Mar 05 18:07:12 UTC 2026","Thu Mar 05 18:07:42 UTC 2026","30003","dream_platform.ui.tests","test_login","","","","test_cancel_logout","Test canceling logout keeps user on current page."
"broken","Thu Mar 05 18:09:38 UTC 2026","Thu Mar 05 18:09:38 UTC 2026","0","dream_platform.ui.tests","test_user_page","","","","test_user_profile_page_visible","Check that user profile page elements are visible after login."
"broken","Thu Mar 05 18:08:12 UTC 2026","Thu Mar 05 18:08:42 UTC 2026","30002","dream_platform.ui.tests","test_forgot_password","","","","test_forgot_password_send_email_ui",""
"failed","Thu Mar 05 18:04:05 UTC 2026","Thu Mar 05 18:04:11 UTC 2026","5236","dream_platform.ui.tests","test_login","","","","test_login_page_elements_before_login","Check that all login page elements are visible before login."
"broken","Thu Mar 05 18:04:41 UTC 2026","Thu Mar 05 18:05:11 UTC 2026","30002","dream_platform.ui.tests","test_login","","","","test_logout","Test logout functionality and returning to login page."
"broken","Thu Mar 05 18:05:41 UTC 2026","Thu Mar 05 18:06:11 UTC 2026","30024","dream_platform.ui.tests","test_login","","","","test_invalid_login_wrong_password","Login should fail with wrong password."
